UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsBest;Likeness;VehicleSpeed;VehicleDistanceToCenter;VehicleMaxAcceleration;VehicleSmoothness
-1;-1;-1;2026-07-02 16:59:46;1;sampling;TRUE;1.0;53.423;22.453;11.992;1.501
-1;-1;-1;2026-07-02 16:59:48;2;sampling;TRUE;1.0;68.77;3.042;6.474;3.708
-1;-1;-1;2026-07-02 16:59:51;3;sampling;TRUE;1.0;63.508;27.257;11.9;4.114
-1;-1;-1;2026-07-02 16:59:52;4;sampling;TRUE;1.0;89.313;64.447;7.017;6.068
-1;-1;-1;2026-07-02 16:59:53;5;sampling;TRUE;1.0;52.737;0.518;12.254;2.983
-1;-1;-1;2026-07-02 16:59:54;6;sampling;TRUE;1.0;98.445;7.886;10.477;5.201
-1;-1;-1;2026-07-02 16:59:54;7;sampling;TRUE;1.0;83.442;82.733;8.18;1.793
-1;-1;-1;2026-07-02 16:59:55;8;sampling;TRUE;1.0;72.161;64.446;8.432;3.863
-1;-1;-1;2026-07-02 16:59:56;9;sampling;TRUE;1.0;74.269;92.524;7.926;7.389
-1;-1;-1;2026-07-02 17:03:03;10;optimization;TRUE;1.0;73.15;94.475;7.977;7.719
