REC-START | 2025-10-17 16:40:16.319

INIT-VARS | POS:[6.051875E-07,0.7190168,-12.99998] | ROT:[0.001421343,1.559014E-05,-6.206461E-07] | VEL:[4.196588E-09,-3.5761E-07,9.784702E-08] | AVL:[2.56723E-07,-1.082643E-10,-1.108687E-08]
CURR-VARS | DUR:[18]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[23]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[23]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[25]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[25]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[22]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[25]ms | ACC:[0.01663] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[16]ms | ACC:[0.06151] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[16]ms | ACC:[0.10901] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[25]ms | ACC:[0.13423] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[15]ms | ACC:[0.15007] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[24]ms | ACC:[0.14534] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[15]ms | ACC:[0.13333] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[17]ms | ACC:[0.13205] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[24]ms | ACC:[0.13737] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[15]ms | ACC:[0.15239] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[17]ms | ACC:[0.15952] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[24]ms | ACC:[0.16643] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[16]ms | ACC:[0.16658] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[24]ms | ACC:[0.16507] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[16]ms | ACC:[0.16679] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[17]ms | ACC:[0.17183] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[24]ms | ACC:[0.18579] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[16]ms | ACC:[0.21895] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[26]ms | ACC:[0.24718] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[15]ms | ACC:[0.30060] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[16]ms | ACC:[0.33167] | BRK:[0.00000] | STR:[0.00641]
CURR-VARS | DUR:[25]ms | ACC:[0.36890] | BRK:[0.00000] | STR:[0.00653]
CURR-VARS | DUR:[15]ms | ACC:[0.40649] | BRK:[0.00000] | STR:[0.00696]
CURR-VARS | DUR:[26]ms | ACC:[0.42458] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[15]ms | ACC:[0.45024] | BRK:[0.00000] | STR:[0.00800]
CURR-VARS | DUR:[16]ms | ACC:[0.46480] | BRK:[0.00000] | STR:[0.00824]
CURR-VARS | DUR:[25]ms | ACC:[0.48213] | BRK:[0.00000] | STR:[0.00836]
CURR-VARS | DUR:[17]ms | ACC:[0.49609] | BRK:[0.00000] | STR:[0.00836]
CURR-VARS | DUR:[24]ms | ACC:[0.50119] | BRK:[0.00000] | STR:[0.00836]
