REC-START | 2025-10-17 16:48:40.909

INIT-VARS | POS:[9.017979E-07,0.7190168,-12.99998] | ROT:[0.001420307,5.548104E-06,-7.567181E-07] | VEL:[1.198428E-08,1.400639E-06,-3.421732E-08] | AVL:[-8.896671E-08,-4.211298E-11,-3.168755E-08]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00714]
CURR-VARS | DUR:[25]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00714]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00720]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[25]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[18]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[23]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[26]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[14]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[25]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[14]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[26]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[23]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[23]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[23]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[25]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[14]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[18]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[23]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[26]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[26]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[16]ms | ACC:[0.00516] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[26]ms | ACC:[0.04695] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[16]ms | ACC:[0.18294] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[15]ms | ACC:[0.31960] | BRK:[0.00000] | STR:[0.00732]
CURR-VARS | DUR:[25]ms | ACC:[0.43597] | BRK:[0.02003] | STR:[0.00732]
CURR-VARS | DUR:[15]ms | ACC:[0.64896] | BRK:[0.09201] | STR:[0.00732]
CURR-VARS | DUR:[24]ms | ACC:[0.75597] | BRK:[0.12673] | STR:[0.00732]
CURR-VARS | DUR:[17]ms | ACC:[0.89494] | BRK:[0.21996] | STR:[0.00732]
CURR-VARS | DUR:[17]ms | ACC:[0.98688] | BRK:[0.34184] | STR:[0.00732]
CURR-VARS | DUR:[25]ms | ACC:[0.99998] | BRK:[0.40459] | STR:[0.00732]
CURR-VARS | DUR:[15]ms | ACC:[0.99998] | BRK:[0.50869] | STR:[0.00732]
CURR-VARS | DUR:[25]ms | ACC:[0.99998] | BRK:[0.54364] | STR:[0.00732]
CURR-VARS | DUR:[17]ms | ACC:[0.99998] | BRK:[0.64057] | STR:[0.00732]
CURR-VARS | DUR:[17]ms | ACC:[0.99998] | BRK:[0.65632] | STR:[0.00732]
CURR-VARS | DUR:[23]ms | ACC:[0.99998] | BRK:[0.65712] | STR:[0.00732]
CURR-VARS | DUR:[16]ms | ACC:[0.99998] | BRK:[0.65591] | STR:[0.00732]
CURR-VARS | DUR:[25]ms | ACC:[0.99998] | BRK:[0.67348] | STR:[0.00732]
CURR-VARS | DUR:[15]ms | ACC:[0.99998] | BRK:[0.68715] | STR:[0.00732]
CURR-VARS | DUR:[15]ms | ACC:[0.99998] | BRK:[0.68882] | STR:[0.00732]
CURR-VARS | DUR:[24]ms | ACC:[0.99998] | BRK:[0.68921] | STR:[0.00732]
CURR-VARS | DUR:[16]ms | ACC:[0.99998] | BRK:[0.66529] | STR:[0.00732]
CURR-VARS | DUR:[25]ms | ACC:[0.99998] | BRK:[0.65838] | STR:[0.00732]
CURR-VARS | DUR:[16]ms | ACC:[0.99998] | BRK:[0.63789] | STR:[0.00732]
CURR-VARS | DUR:[17]ms | ACC:[0.99998] | BRK:[0.63359] | STR:[0.00732]
CURR-VARS | DUR:[24]ms | ACC:[0.99998] | BRK:[0.65941] | STR:[0.00732]
CURR-VARS | DUR:[17]ms | ACC:[0.99998] | BRK:[0.68658] | STR:[0.00732]
CURR-VARS | DUR:[23]ms | ACC:[0.99998] | BRK:[0.68985] | STR:[0.00732]
