REC-START | 2025-10-17 16:44:37.950

INIT-VARS | POS:[-2.080384E-06,0.7190166,-12.99998] | ROT:[0.00142067,1.026404E-06,8.05631E-07] | VEL:[1.022428E-07,5.960166E-08,-1.778076E-08] | AVL:[-4.535712E-08,-7.815237E-11,-2.713574E-07]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[25]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[23]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[25]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[18]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[25]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[23]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[18]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[25]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[23]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[26]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[23]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[27]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[14]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[25]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[18]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[25]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[24]ms | ACC:[0.00102] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[16]ms | ACC:[0.02339] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[15]ms | ACC:[0.03893] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[26]ms | ACC:[0.05498] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[16]ms | ACC:[0.10226] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[24]ms | ACC:[0.13408] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[16]ms | ACC:[0.20439] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[23]ms | ACC:[0.28275] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[17]ms | ACC:[0.41159] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[15]ms | ACC:[0.49422] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[23]ms | ACC:[0.56528] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[18]ms | ACC:[0.64970] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[14]ms | ACC:[0.68077] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[24]ms | ACC:[0.68715] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[16]ms | ACC:[0.68512] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[25]ms | ACC:[0.67949] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[15]ms | ACC:[0.66966] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[16]ms | ACC:[0.66164] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[23]ms | ACC:[0.66231] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[17]ms | ACC:[0.67236] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[24]ms | ACC:[0.67979] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[17]ms | ACC:[0.68828] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[15]ms | ACC:[0.69337] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[25]ms | ACC:[0.69705] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[16]ms | ACC:[0.70232] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[25]ms | ACC:[0.70299] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[16]ms | ACC:[0.70329] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[16]ms | ACC:[0.70628] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[25]ms | ACC:[0.71852] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[15]ms | ACC:[0.74802] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[24]ms | ACC:[0.76482] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[16]ms | ACC:[0.79041] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[16]ms | ACC:[0.79829] | BRK:[0.00000] | STR:[-0.00992]
CURR-VARS | DUR:[25]ms | ACC:[0.80699] | BRK:[0.00000] | STR:[-0.01016]
