UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsBest;Likeness;VehicleSpeed;VehicleDistanceToCenter;VehicleMaxAcceleration;VehicleSmoothness
-1;-1;-1;2026-07-02 09:29:20;1;sampling;TRUE;1.0;53.423;22.453;11.992;1.501
-1;-1;-1;2026-07-02 09:29:42;2;sampling;FALSE;1.0;68.77;3.042;6.474;3.708
-1;-1;-1;2026-07-02 09:30:00;3;sampling;FALSE;1.0;63.508;27.257;11.9;4.114
