Optimization;Execution_Time
1;2.0503387451171875
2;1.3719847202301025
3;1.8657677173614502
4;1.7609443664550781
5;1.5896589756011963
6;1.613699197769165
7;3.466582775115967
8;1.7924630641937256
9;3.275940418243408
10;3.468797206878662
